Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ASB2	chr14	93976570	chr14	93959133	93960113	0.8588	ESR2 (0.99), KLF3 (0.99), BACH1 (0.97), FOSB (0.96), SMARCC1 (0.96), JDP2 (0.96), SNAI2 (0.95), PPARG (0.93), NR4A3 (0.85), ATF3 (0.85), FOSL2 (0.83), HES1 (0.82), JUN (0.82), FOSL1 (0.81), 
ASCC2	chr22	29838274	chr22	29768069	29768833	0.848	
ASCC2	chr22	29838274	chr22	29830249	29831173	0.8149	ZIC3 (0.87), PPARA (0.84), GLIS1 (0.82), 
ATP5F1A	chr18	46104233	chr18	46407336	46408231	0.8067	BACH1 (0.99), RXRG (0.98), NR4A3 (0.97), TCF7L2 (0.96), JUNB (0.96), RXRA (0.93), DMBX1 (0.88), NR1H2 (0.84), JUN (0.84), FOSL1 (0.84), 
ATP5F1E	chr20	59032335	chr20	59006731	59007691	0.8878	
ATP5MG	chr11	118401388	chr11	118099924	118100672	0.8224	NR1I2 (0.99), NR4A1 (0.98), ESRRB (0.98), HES1 (0.97), NR4A2 (0.97), NR4A3 (0.94), NFE2 (0.93), PPARD (0.93), ESRRG (0.92), PPARG (0.89), 
ATP5MPL	chr14	103921529	chr14	103685113	103686089	0.855	NR4A2 (0.99), ESRRG (0.97), RARB (0.95), MXI1 (0.94), TFCP2L1 (0.93), PPARA (0.81), 
ATP6V1E1	chr22	17628822	chr22	17435142	17436031	0.8713	BACH1 (0.82), 
B3GALNT2	chr1	235504452	chr1	235069713	235070697	0.8449	TCF7L2 (0.97), NR1H4 (0.96), CREB3L2 (0.92), NR1I3 (0.91), MXI1 (0.88), NR2F2 (0.85), RORA (0.84), PPARG (0.84), 
BCAT2	chr19	48811029	chr19	49071783	49072221	0.9409	
BIN1	chr2	127107154	chr2	127052049	127052908	0.823	NFE2 (0.90), ATOH1 (0.87), ESR2 (0.84), 
BIN1	chr2	127107154	chr2	127165124	127166104	0.8498	RORC (1.00), RARA (1.00), ZKSCAN3 (0.98), TFCP2 (0.97), MTF1 (0.97), MYOD1 (0.97), ZKSCAN4 (0.94), SNAI2 (0.89), MYF5 (0.86), 
BIN1	chr2	127107154	chr2	127170227	127171229	0.8664	ZNF784 (1.00), CREB3L2 (1.00), NR4A2 (1.00), NR4A3 (0.99), NR4A1 (0.98), NR2F1 (0.98), RXRA (0.98), HNF4A (0.96), HNF4G (0.94), NR6A1 (0.93), NR2C1 (0.91), RXRB (0.83), 
BMPR2	chr2	202376326	chr2	202281154	202282136	0.8508	NR4A3 (0.97), FOSB (0.94), BACH2 (0.92), KLF3 (0.92), BACH1 (0.92), JDP2 (0.91), JUN (0.91), JUNB (0.90), FOSL1 (0.85), 
BRI3	chr7	98281685	chr7	98285999	98287413	0.8551	MITF (0.92), KLF3 (0.88), HES1 (0.86), ESR1 (0.85), 
BSG	chr19	571282	chr19	584097	585067	0.8739	KLF3 (0.97), MYC (0.96), NR2C1 (0.94), RXRA (0.93), MAF (0.91), KLF8 (0.89), ESR2 (0.88), ZKSCAN4 (0.86), CREB3L2 (0.84), 
C16orf70	chr16	67109940	chr16	67177861	67178830	0.8122	KLF3 (0.83), 
C16orf70	chr16	67109940	chr16	67549331	67550261	0.8317	NR2F1 (0.99), MXI1 (0.96), NR2F6 (0.95), ATOH1 (0.94), NR1H3 (0.83), 
C19orf12	chr19	29715789	chr19	29708423	29709418	0.8651	ZIC1 (1.00), PPARD (1.00), ESRRG (1.00), NR4A1 (1.00), TCF7L2 (1.00), ESRRB (1.00), NR2F1 (0.99), NR3C1 (0.98), NR4A2 (0.98), ESRRA (0.97), HNF4G (0.95), BACH2 (0.95), KLF8 (0.94), HNF4A (0.91), ZIC3 (0.88), 
C1orf54	chr1	150272283	chr1	150259570	150260511	0.8791	ZNF219 (0.99), 
C3orf35	chr3	37386268	chr3	37243909	37244778	0.9281	
CASTOR2	chr7	74964704	chr7	74465905	74466910	0.8306	NR2C1 (1.00), ESRRA (0.98), NR6A1 (0.98), NR5A1 (0.98), HES1 (0.97), RXRG (0.95), NR4A3 (0.94), ZKSCAN4 (0.91), ESRRB (0.91), ZIC1 (0.91), RXRA (0.88), TP73 (0.86), NR1I3 (0.86), HNF4A (0.86), NR1H2 (0.85), ESRRG (0.81), 
CASTOR2	chr7	74964704	chr7	74477601	74478623	0.8409	GLI1 (0.95), MXI1 (0.94), RHOXF1 (0.93), 
CASTOR2	chr7	74964704	chr7	74604052	74604981	0.9453	
CBFB	chr16	67029148	chr16	66935288	66935990	0.811	
CBFB	chr16	67029148	chr16	67177861	67178830	0.9029	KLF3 (0.83), 
CBR3	chr21	36135078	chr21	36171588	36172570	0.8542	NR4A2 (1.00), RARB (1.00), NR3C1 (1.00), KLF3 (0.99), ESRRA (0.98), HES1 (0.98), MAF (0.91), PGR (0.89), ESR2 (0.82), ESR1 (0.80), 
CBR3	chr21	36135078	chr21	36186698	36187536	0.8873	MEIS1 (0.87), NR2C1 (0.87), NR6A1 (0.86), 
CCM2	chr7	44999745	chr7	44650503	44651462	0.8652	ESRRG (0.98), NR4A2 (0.97), NR4A3 (0.96), TFEB (0.95), ZIC3 (0.94), MITF (0.92), NR1I3 (0.90), RORC (0.87), NR1H4 (0.86), MTF1 (0.85), NR4A1 (0.82), NR2C1 (0.81), 
CD36	chr7	80602206	chr7	80603968	80604896	0.8899	NR4A2 (0.95), CREB3L2 (0.94), MXI1 (0.91), NPAS2 (0.82), MITF (0.81), 
CD36	chr7	80602206	chr7	80636423	80637283	0.88	MEIS2 (0.99), TGIF2 (0.90), PGR (0.89), 
CD63	chr12	55729673	chr12	55680989	55681943	0.8338	FOSB (0.95), ESR2 (0.94), NR2E1 (0.92), PPARG (0.92), SMARCC1 (0.91), BACH1 (0.90), NR1I2 (0.88), FOSL1 (0.87), FOSL2 (0.86), JUN (0.84), JDP2 (0.84), NR3C1 (0.82), 
CDHR3	chr7	105963263	chr7	105775730	105776652	0.9085	SMARCC1 (0.91), NR2C1 (0.87), NR4A1 (0.86), BACH1 (0.85), TCF7L2 (0.82), FOSB (0.82), FOSL2 (0.80), 
CDS2	chr20	5127007	chr20	5150401	5151327	0.8729	NFE2 (1.00), ESR1 (0.99), ATF3 (0.94), TFEB (0.92), USF2 (0.91), MXI1 (0.91), TGIF2 (0.83), 
CDS2	chr20	5127007	chr20	5156272	5157242	0.8741	NR4A1 (1.00), RXRA (1.00), KLF8 (1.00), PPARD (1.00), NR3C1 (1.00), RXRG (0.99), NR1I2 (0.93), NR2F6 (0.89), FOSB (0.88), MTF1 (0.86), RXRB (0.85), 
CEBPD	chr8	47738164	chr8	47659242	47660209	0.9202	ESR1 (0.97), NR6A1 (0.97), RORA (0.92), NR5A1 (0.83), PPARG (0.81), 
CERT1	chr5	75511981	chr5	75363425	75364380	0.8477	NR4A2 (0.90), TCF7L2 (0.87), TEAD1 (0.86), 
CES3	chr16	66961265	chr16	66935288	66935990	0.8897	
CES3	chr16	66961265	chr16	67177861	67178830	0.927	KLF3 (0.83), 
CIITA	chr16	10877197	chr16	11084245	11085814	0.805	HEY1 (1.00), ATF3 (1.00), TGIF2 (1.00), NR4A2 (1.00), RARB (1.00), JUNB (0.99), FOSB (0.99), ZIC3 (0.99), MTF1 (0.98), USF1 (0.98), TEAD1 (0.98), FOSL1 (0.98), JUN (0.97), BACH1 (0.96), NR4A1 (0.96), FOS (0.95), NR1H4 (0.94), FOSL2 (0.92), GLI1 (0.92), NR1H3 (0.92), BACH2 (0.91), NR2E1 (0.85), NR5A1 (0.84), 
CKMT2-AS1	chr5	81301569	chr5	81234876	81235885	0.8964	CREB3L2 (0.90), TCF7L2 (0.90), MXI1 (0.88), NPAS2 (0.88), SMARCC1 (0.87), MYC (0.86), ESR2 (0.82), FOSL1 (0.82), PPARG (0.80), 
CKMT2-AS1	chr5	81301569	chr5	81244787	81245616	0.8813	
CLDN14	chr21	36576569	chr21	36186698	36187536	0.8546	MEIS1 (0.87), NR2C1 (0.87), NR6A1 (0.86), 
CLEC16A	chr16	10944487	chr16	11084245	11085814	0.8443	HEY1 (1.00), ATF3 (1.00), TGIF2 (1.00), NR4A2 (1.00), RARB (1.00), JUNB (0.99), FOSB (0.99), ZIC3 (0.99), MTF1 (0.98), USF1 (0.98), TEAD1 (0.98), FOSL1 (0.98), JUN (0.97), BACH1 (0.96), NR4A1 (0.96), FOS (0.95), NR1H4 (0.94), FOSL2 (0.92), GLI1 (0.92), NR1H3 (0.92), BACH2 (0.91), NR2E1 (0.85), NR5A1 (0.84), 
CLIC5	chr6	46129819	chr6	45998080	45999092	0.8654	ATOH1 (0.92), HNF4G (0.91), SNAI2 (0.82), 
CLIC5	chr6	46129819	chr6	46170554	46171522	0.8318	ZNF219 (0.87), 
CLIP4	chr2	29097675	chr2	28677888	28678864	0.8282	RXRB (0.92), NR4A2 (0.91), CREB3L2 (0.86), HEY1 (0.84), NR2F2 (0.81), NR1I3 (0.80), 
CLK3	chr15	74608371	chr15	74847166	74848145	0.8275	NR4A2 (0.97), RXRB (0.96), KLF3 (0.95), NR2F6 (0.94), MTF1 (0.89), SMARCC1 (0.85), RARA (0.84), RORA (0.83), NR4A3 (0.83), RXRA (0.81), HES1 (0.80), 
COG3	chr13	45464938	chr13	45433043	45433999	0.8405	RORC (1.00), RXRA (0.99), NR4A2 (0.99), NR3C1 (0.98), 
COLQ	chr3	15521706	chr3	15319246	15320180	0.8193	NR4A3 (1.00), NR4A2 (1.00), ESRRA (0.99), RORA (0.99), NR4A1 (0.98), PPARA (0.98), TGIF2 (0.98), RORC (0.94), ATOH1 (0.94), PPARD (0.91), 
COLQ	chr3	15521706	chr3	15645770	15646673	0.8729	NR4A2 (0.89), ATOH1 (0.85), 
COQ3	chr6	99394195	chr6	99393546	99394521	0.8799	NR4A2 (0.81), 
COQ8A	chr1	226940293	chr1	226660222	226661286	0.8168	ESRRG (0.97), TCF7L2 (0.92), ESRRB (0.88), TFCP2 (0.88), NR4A1 (0.87), PPARG (0.82), 
COQ8A	chr1	226940293	chr1	226697652	226698642	0.8134	HNF4G (1.00), NR4A2 (0.99), NR4A1 (0.98), ATOH1 (0.96), NFE2 (0.96), MYOD1 (0.94), NR4A3 (0.92), 
CPEB4	chr5	173888348	chr5	173454738	173455736	0.817	TFEB (1.00), NPAS2 (1.00), FOSL2 (1.00), BACH2 (1.00), JDP2 (1.00), CREB3L2 (1.00), SMARCC1 (1.00), HLTF (1.00), ZKSCAN4 (1.00), JUND (1.00), FOSL1 (1.00), NR3C1 (1.00), JUN (1.00), NR5A2 (1.00), USF2 (1.00), MITF (1.00), RORA (1.00), ZKSCAN3 (0.99), MYCN (0.99), RORC (0.97), BACH1 (0.92), ATF3 (0.85), 
CPEB4	chr5	173888348	chr5	173499194	173500241	0.8818	MYC (0.96), RXRA (0.92), ESR1 (0.92), PPARD (0.90), ESR2 (0.89), RXRG (0.88), 
CPEB4	chr5	173888348	chr5	173657657	173658623	0.8756	RARA (1.00), ESRRG (1.00), NR4A2 (0.99), ESRRB (0.99), SMARCC1 (0.99), NR4A3 (0.99), NR4A1 (0.99), ESRRA (0.96), NR5A2 (0.87), NR1H3 (0.85), 
CPEB4	chr5	173888348	chr5	173766114	173767005	0.8651	MXI1 (0.89), TCF7L2 (0.84), CREB3L2 (0.83), HEY1 (0.82), KLF3 (0.81), 
CPEB4	chr5	173888348	chr5	173954632	173955623	0.8747	RORC (0.99), JDP2 (0.97), TCF7L2 (0.95), HES1 (0.95), MEIS1 (0.95), SMARCC1 (0.94), NR4A2 (0.93), FOSL1 (0.91), FOSB (0.90), BACH1 (0.90), BACH2 (0.87), FOSL2 (0.84), JUN (0.83), 
CREBBP	chr16	3880713	chr16	3745705	3746694	0.8124	MYC (1.00), MYOD1 (0.99), ESR1 (0.99), NR4A3 (0.97), FOSL1 (0.96), ESR2 (0.95), RARA (0.95), FOSB (0.94), MXI1 (0.94), ZNF691 (0.93), NR2E1 (0.93), MYF5 (0.92), CREB3L2 (0.89), TEAD1 (0.86), PGR (0.85), ZIC1 (0.84), MITF (0.82), TFCP2 (0.81), NR4A2 (0.81), BACH2 (0.81), 
CREBBP	chr16	3880713	chr16	4113205	4114122	0.8548	MAF (0.87), NR2F1 (0.87), ESR2 (0.85), 
CRK	chr17	1456232	chr17	1459975	1460905	0.87	ZNF219 (0.85), BACH2 (0.81), 
CRK	chr17	1456232	chr17	1586899	1587849	0.8874	NR4A2 (0.88), ESRRG (0.87), TEAD1 (0.85), NR4A3 (0.82), MEIS2 (0.82), NR4A1 (0.81), ESRRB (0.81), 
CRK	chr17	1456232	chr17	1647154	1647934	0.8524	SNAI2 (0.85), 
CRK	chr17	1456232	chr17	1769077	1769940	0.8793	ESRRG (0.92), NR4A3 (0.90), NR2F1 (0.90), RORC (0.90), PPARD (0.85), ESRRA (0.83), 
CRTC1	chr19	18683679	chr19	18506676	18507598	0.8332	TFEB (0.83), NR4A3 (0.80), 
CRTC1	chr19	18683679	chr19	18648806	18650232	0.8328	TEAD1 (0.94), NR3C1 (0.92), ATOH1 (0.89), ZIC1 (0.84), TP73 (0.83), OSR1 (0.81), 
CRTC1	chr19	18683679	chr19	18650244	18651253	0.8575	CREB3L2 (1.00), MAF (1.00), BACH1 (1.00), ESR2 (1.00), TFEB (1.00), ESR1 (1.00), NR4A3 (1.00), HES1 (0.99), NR4A2 (0.99), NR4A1 (0.99), FOSB (0.99), FOSL1 (0.99), ZIC3 (0.99), NR2C1 (0.99), JDP2 (0.99), SMARCC1 (0.98), MITF (0.97), JUN (0.97), NFE2 (0.96), BACH2 (0.96), JUNB (0.95), FOSL2 (0.93), 
CTNNA1	chr5	138753385	chr5	138753967	138754767	0.8466	KLF3 (0.93), NR4A2 (0.90), RARA (0.83), NR2F1 (0.81), 
DCAF6	chr1	167936238	chr1	167681191	167682186	0.8593	TP73 (0.89), 
DCAKD	chr17	45061131	chr17	45018883	45019909	0.8448	HNF4G (0.86), ESRRG (0.82), 
DCAKD	chr17	45061131	chr17	45040627	45041609	0.8023	HES1 (0.96), NR2E1 (0.93), 
DCBLD1	chr6	117482603	chr6	117168589	117169441	0.8403	MAF (0.85), ESRRA (0.82), 
DCBLD1	chr6	117482603	chr6	117267834	117268798	0.8627	TFCP2 (0.95), NR2F6 (0.95), RXRA (0.82), 
DCBLD1	chr6	117482603	chr6	117328187	117329075	0.855	RXRA (0.95), RORC (0.95), PPARD (0.93), RORA (0.91), RXRG (0.83), NR4A2 (0.83), 
DCUN1D1	chr3	182985918	chr3	183392089	183393067	0.8025	HNF4G (0.99), KLF3 (0.99), HES1 (0.98), NR1H3 (0.96), TFEB (0.95), HNF4A (0.94), ZKSCAN4 (0.94), ATOH1 (0.89), ZNF784 (0.87), 
DCUN1D1	chr3	182985918	chr3	183447180	183448135	0.8528	ESRRB (0.84), HES1 (0.81), 
DGKZ	chr11	46332925	chr11	46710594	46711594	0.8181	ESR2 (0.94), 
DHDDS	chr1	26432281	chr1	26061452	26062257	0.8396	ESRRG (0.90), NR2C1 (0.87), NR2F1 (0.85), NR4A3 (0.84), ESRRA (0.84), NR1I3 (0.83), PPARD (0.82), 
DHRS4-AS1	chr14	23955112	chr14	23551343	23552222	0.9348	
DHRS7B	chr17	21126927	chr17	21041661	21042464	0.8456	
DHRS7B	chr17	21126927	chr17	21165768	21166756	0.8288	RARA (0.84), TEAD1 (0.82), RORA (0.81), 
DLAT	chr11	112025407	chr11	111549275	111550239	0.8524	ATOH1 (0.99), ZKSCAN3 (0.99), NR4A3 (0.99), TCF7L2 (0.99), TFEB (0.98), MITF (0.98), ZKSCAN4 (0.96), NR4A2 (0.96), 
DLAT	chr11	112025407	chr11	111988409	111989364	0.8811	JUN (0.88), BACH1 (0.82), 
DLAT	chr11	112025407	chr11	112100141	112101061	0.8536	MAF (0.81), 
DLGAP4	chr20	36306338	chr20	36463632	36464451	0.8764	RORC (1.00), RXRA (0.99), KLF3 (0.99), RXRG (0.98), PPARD (0.98), RORA (0.97), NR4A3 (0.96), NR4A2 (0.96), NR4A1 (0.95), NR2F6 (0.92), 
DLGAP4	chr20	36306338	chr20	36480498	36481354	0.9303	KLF8 (0.91), 
DLGAP4-AS1	chr20	36573275	chr20	36463632	36464451	0.8806	RORC (1.00), RXRA (0.99), KLF3 (0.99), RXRG (0.98), PPARD (0.98), RORA (0.97), NR4A3 (0.96), NR4A2 (0.96), NR4A1 (0.95), NR2F6 (0.92), 
DLGAP4-AS1	chr20	36573275	chr20	36480498	36481354	0.9528	KLF8 (0.91), 
DNAJC27	chr2	24972094	chr2	25303108	25304090	0.8372	RXRG (0.95), NPAS2 (0.94), RXRA (0.93), MEIS1 (0.93), MYC (0.93), NR2F6 (0.92), MXI1 (0.90), TEAD1 (0.89), RORA (0.85), NR3C1 (0.84), MYCN (0.83), 
DNAJC3	chr13	95677138	chr13	95270889	95271863	0.8107	RORC (0.81), 
DOP1B	chr21	36156781	chr21	36171588	36172570	0.8581	NR4A2 (1.00), RARB (1.00), NR3C1 (1.00), KLF3 (0.99), ESRRA (0.98), HES1 (0.98), MAF (0.91), PGR (0.89), ESR2 (0.82), ESR1 (0.80), 
DOP1B	chr21	36156781	chr21	36186698	36187536	0.9024	MEIS1 (0.87), NR2C1 (0.87), NR6A1 (0.86), 
DUS2	chr16	68023283	chr16	67549331	67550261	0.8814	NR2F1 (0.99), MXI1 (0.96), NR2F6 (0.95), ATOH1 (0.94), NR1H3 (0.83), 
DUSP3	chr17	43778977	chr17	43774642	43775628	0.8604	ESRRB (0.83), PPARD (0.80), 
EBF3	chr10	129964274	chr10	130337290	130338341	0.8519	NR4A2 (0.99), NR4A1 (0.99), NR4A3 (0.98), RORA (0.97), NR1I2 (0.96), PPARD (0.95), ESRRB (0.95), ESRRA (0.95), ZKSCAN4 (0.94), NR5A1 (0.90), PPARA (0.89), ZKSCAN3 (0.83), 
EIF3A	chr10	119080817	chr10	119003201	119004235	0.8545	MYOD1 (1.00), TCF7L2 (0.97), MEIS2 (0.96), RARA (0.95), TGIF2 (0.91), NR1H2 (0.90), NR1I3 (0.85), 
EIF3A	chr10	119080817	chr10	119020282	119021217	0.8591	
EIF3A	chr10	119080817	chr10	119032273	119033273	0.862	NR2F1 (0.95), NR6A1 (0.94), ZNF219 (0.92), ESRRA (0.88), ESRRG (0.88), KLF8 (0.83), NR4A3 (0.83), NR4A1 (0.81), 
EIF4EBP2	chr10	70404144	chr10	70478124	70479089	0.8854	MXI1 (0.88), HEY1 (0.85), CREB3L2 (0.84), 
ELAVL1	chr19	8005641	chr19	8342827	8343766	0.8167	ZNF784 (1.00), ZNF219 (1.00), TEAD1 (0.98), NR3C1 (0.97), NR2E1 (0.83), 
ELAVL1	chr19	8005641	chr19	8347617	8348517	0.8236	ATOH1 (1.00), RORA (1.00), TEAD1 (1.00), ESRRG (1.00), HES1 (0.99), PPARG (0.99), ESRRA (0.97), ZNF691 (0.89), ESRRB (0.85), 
EMC1-AS1	chr1	19210385	chr1	19596518	19597487	0.8588	PPARG (0.81), NR5A2 (0.80), TEAD1 (0.80), 
ENDOD1	chr11	95089845	chr11	95096049	95096986	0.8396	RARA (0.90), BACH1 (0.89), FOSB (0.88), NR4A2 (0.87), FOSL2 (0.83), GCM1 (0.83), 
ENO1	chr1	8878686	chr1	8424528	8425385	0.8596	TCF7L2 (0.93), NR4A3 (0.90), NR4A2 (0.88), PPARA (0.87), 
ENO1	chr1	8878686	chr1	9127152	9128031	0.8778	KLF3 (0.93), RARA (0.92), TEAD1 (0.90), NR4A2 (0.88), ESRRB (0.83), RORA (0.80), NR4A1 (0.80), 
ENPP5	chr6	46171010	chr6	46170554	46171522	0.9356	ZNF219 (0.87), 
ENPP5	chr6	46171010	chr6	46172055	46172942	0.8782	NPAS2 (0.96), PPARG (0.93), TCF7L2 (0.91), NR3C1 (0.89), SNAI2 (0.80), 
EPS15L1	chr19	16472012	chr19	16341948	16342981	0.8708	NR4A1 (0.98), ESRRB (0.97), MEIS2 (0.96), ESRRG (0.95), NR2F1 (0.86), ZIC3 (0.84), NR1H3 (0.81), 
ESCO1	chr18	21600704	chr18	21241846	21242797	0.8182	
ETV6	chr12	11649673	chr12	11797030	11797960	0.9061	KLF3 (0.94), RORC (0.93), ESRRB (0.89), NR1H3 (0.86), 
FABP3	chr1	31373288	chr1	31361651	31362638	0.9475	NR2E1 (0.94), TCF7L2 (0.92), MYOD1 (0.88), 
FAM110B	chr8	57994522	chr8	58078649	58079585	0.8676	NR4A1 (0.98), NR4A3 (0.95), JUNB (0.92), FOSB (0.91), HES1 (0.90), SNAI2 (0.89), BACH2 (0.87), FOSL1 (0.87), JUN (0.87), MYF5 (0.85), ESRRB (0.84), ESRRA (0.84), FOSL2 (0.83), 
FAM120AOS	chr9	93453601	chr9	93098309	93099211	0.8388	FOSB (0.88), BACH1 (0.87), SMARCC1 (0.87), NR2C1 (0.81), PPARD (0.81), 
FAM13C	chr10	59363181	chr10	59649652	59650574	0.8343	ZIC3 (0.91), GLI1 (0.89), NR4A2 (0.82), 
FAM181A	chr14	93918893	chr14	93927254	93928192	0.903	RORC (0.98), NFE2 (0.94), KLF3 (0.88), KLF8 (0.81), 
FAM181A	chr14	93918893	chr14	93959133	93960113	0.8075	ESR2 (0.99), KLF3 (0.99), BACH1 (0.97), FOSB (0.96), SMARCC1 (0.96), JDP2 (0.96), SNAI2 (0.95), PPARG (0.93), NR4A3 (0.85), ATF3 (0.85), FOSL2 (0.83), HES1 (0.82), JUN (0.82), FOSL1 (0.81), 
FAM181A-AS1	chr14	93926372	chr14	93927254	93928192	0.9045	RORC (0.98), NFE2 (0.94), KLF3 (0.88), KLF8 (0.81), 
FAM189A2	chr9	69324571	chr9	69605229	69606088	0.8356	HNF4A (0.92), HNF4G (0.90), PPARD (0.89), RXRA (0.85), JUN (0.84), JUNB (0.80), 
FARP1	chr13	98142588	chr13	98171884	98172856	0.9128	KLF3 (0.86), 
FARP1	chr13	98142588	chr13	98173405	98174247	0.8922	RORC (1.00), ESRRG (1.00), PPARD (1.00), NR4A2 (1.00), TEAD1 (1.00), MITF (1.00), TCF7L2 (1.00), TFCP2 (0.99), NR4A3 (0.99), RORA (0.99), ESRRB (0.99), NR2F1 (0.99), RORB (0.98), ESRRA (0.97), NR1I3 (0.96), NR4A1 (0.95), NR5A2 (0.89), ESR1 (0.83), 
FARP1	chr13	98142588	chr13	98503168	98504167	0.8993	MAF (0.98), NR4A3 (0.95), PPARA (0.95), ESRRG (0.95), NR2F6 (0.94), RORC (0.91), PPARD (0.91), NR4A2 (0.90), ESRRA (0.89), RXRA (0.88), NR2C1 (0.84), 
FLCN	chr17	17237168	chr17	17682338	17683365	0.8706	NR5A2 (0.91), NR4A2 (0.91), ESRRG (0.89), TCF7L2 (0.81), 
FN3K	chr17	82735614	chr17	82888657	82889614	0.8612	MXI1 (0.96), NR4A2 (0.96), TCF7L2 (0.94), TFCP2 (0.92), HEY1 (0.92), KLF3 (0.91), TFEB (0.90), NR4A3 (0.88), PPARG (0.84), ZNF219 (0.83), 
FNBP1L	chr1	93448117	chr1	93553836	93554701	0.8756	NR2F6 (0.95), NR3C1 (0.85), RXRA (0.83), 
